iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,5244.0,94204,5244.0,94204,0.944,_178_182_186_193_195_199_200_201_206_211_212_213_215_216_217_219_220_221_227_228_229_230_231_232_234_235_236_237_238_239_240_241_242_243_244_246_247_248_249_250_251_252_253_254_256_257_259_260_261_264_265_266_267_268_269_270_271_272_274_275_277_279_280_281_283_284_285_286_287_289_290_291_292_293_294_295_296_297_298_299_300_301_302_303_304_306_308_309_310_311_312_314_315_316_317_318_319_320_321_322_323_324_325_327_328_330_331_332_333_334_335_336_337_338_339_340_341_342_343_344_345_346_347_348_349_350_351_352_354_355_356_357_358_360_361_362_364_365_366_367_368_369_370_371_372_373_374_375_376_377_378_379_380_381_382_383_384_385_386_387_388_389_390_391_392_394_395_396_397_398_399,
1,-378295.8,42218,5244.0,42218,0.876,,
2,-309630.763,42218,5244.0,42218,0.876,,
3,-239571.449,42218,5244.0,42218,0.876,,
4,-171585.795,42199,5244.0,42199,0.876,,
5,-107778.447,41618,5244.0,41618,0.874,,
6,-50276.181,40915,5244.0,40915,0.872,,
7,-21522.181,39876,5244.0,39876,0.868,,
8,-6458.007,40661,5244.0,39876,0.868,,
9,1298.233,40311,5244.0,39876,0.868,,
10,5308.519,40487,5308.519,39876,0.867,,
11,9275.038,40297,9275.038,39876,0.767,,
12,12747.015,39855,12747.015,39855,0.68,,
13,15751.168,39541,15751.168,39541,0.602,,
14,18222.733,38646,18222.733,38646,0.528,,
15,20228.066,37729,20228.066,37729,0.464,,
16,21742.201,36636,21742.201,36636,0.407,,
17,22735.411,35606,22735.411,35606,0.361,,
18,23338.293,34111,23338.293,34111,0.316,,
19,23761.671,32565,23761.671,32565,0.27,,
20,24000.507,30114,24000.507,30114,0.203,,
21,24196.313,30117,24196.313,30114,0.197,,
22,24186.221,28176,24196.313,28176,0.141,,
23,24374.076,28212,24374.076,28176,0.135,,
24,24310.078,28011,24374.076,28011,0.13,,
25,24415.105,26931,24415.105,26931,0.093,,
26,24434.128,26435,24434.128,26435,0.076,,
27,24477.96,26279,24477.96,26279,0.069,,
28,24470.477,26012,24477.96,26012,0.059,,
29,24503.882,25678,24503.882,25678,0.046,,
30,24507.182,25895,24507.182,25678,0.046,,
31,24513.715,25289,24513.715,25289,0.031,,
32,24525.267,25504,24525.267,25289,0.03,,
33,24525.433,25492,24525.433,25289,0.03,,
34,24527.432,25511,24527.432,25289,0.03,,
35,24525.144,25479,24527.432,25289,0.03,,
36,24529.089,25309,24529.089,25289,0.03,,
37,24526.779,25328,24529.089,25289,0.03,,
38,24529.597,25540,24529.597,25289,0.03,,
39,24525.312,25149,24529.597,25149,0.025,,
40,24537.515,25047,24537.515,25047,0.02,,
41,24537.287,25238,24537.515,25047,0.02,,
42,24534.795,25310,24537.515,25047,0.02,,
43,24540.434,25108,24540.434,25047,0.02,,
44,24536.381,25092,24540.434,25047,0.02,,
45,24540.589,24860,24540.589,24860,0.013,,
46,24545.169,24958,24545.169,24860,0.013,,
47,24544.764,25270,24545.169,24860,0.013,,
48,24547.987,24930,24547.987,24860,0.013,,
49,24545.794,24878,24547.987,24860,0.013,,
50,24546.328,25241,24547.987,24860,0.013,,
51,24544.671,25030,24547.987,24860,0.013,,
52,24547.336,25009,24547.987,24860,0.013,,
53,24542.603,24882,24547.987,24860,0.013,,
54,24548.99,25012,24548.99,24860,0.013,,
55,24542.161,24982,24548.99,24860,0.013,,
56,24550.776,24955,24550.776,24860,0.012,,
57,24540.435,25342,24550.776,24860,0.012,_362,
58,24548.474,25031,24550.776,24860,0.012,,
59,24542.379,24991,24550.776,24860,0.012,,
60,24547.659,24953,24550.776,24860,0.012,,
61,24543.437,24972,24550.776,24860,0.012,,
62,24547.171,24856,24550.776,24856,0.012,,
63,24551.991,25216,24551.991,24856,0.012,,
64,24551.182,25128,24551.991,24856,0.012,,
65,24553.575,24911,24553.575,24856,0.012,,
66,24549.191,25055,24553.575,24856,0.012,,
67,24554.182,25283,24554.182,24856,0.012,_381,
68,24550.123,24966,24554.182,24856,0.012,,
69,24553.192,24846,24554.182,24846,0.012,,
70,24552.496,25098,24554.182,24846,0.012,,
71,24553.03,24979,24554.182,24846,0.012,,
72,24552.208,25328,24554.182,24846,0.012,_381,
73,24553.402,25058,24554.182,24846,0.012,,
74,24552.206,24830,24554.182,24830,0.011,,
75,24554.41,24949,24554.41,24830,0.011,,
76,24552.679,24963,24554.41,24830,0.011,,
77,24553.236,24907,24554.41,24830,0.011,,
78,24553.557,25091,24554.41,24830,0.011,,
79,24553.392,25276,24554.41,24830,0.011,_362,
80,24552.908,24890,24554.41,24830,0.011,,
81,24553.922,24952,24554.41,24830,0.011,,
82,24553.23,24933,24554.41,24830,0.011,,
83,24553.155,25036,24554.41,24830,0.011,,
84,24553.355,25041,24554.41,24830,0.011,,
85,24553.146,24888,24554.41,24830,0.011,,
86,24554.697,25333,24554.697,24830,0.011,,
87,24551.908,24798,24554.697,24798,0.01,,
Running time: 48.71 sec
