iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,7218.0,102433,7218.0,102433,0.93,_183_186_187_191_192_193_194_195_196_197_198_199_200_201_205_206_209_210_211_212_213_215_216_217_218_219_221_223_224_227_228_229_230_231_232_233_234_235_236_237_238_239_240_241_242_243_244_245_246_247_248_249_250_251_252_253_254_256_257_258_259_260_261_264_265_266_267_268_269_270_271_272_274_275_276_277_278_279_280_281_283_284_285_286_287_288_289_290_291_292_293_294_295_296_297_298_299_300_301_302_303_304_306_308_309_310_311_312_314_315_316_317_318_319_320_321_323_324_325_326_327_328_329_330_331_332_333_334_335_336_337_338_339_340_341_342_343_344_345_346_347_348_349_350_351_352_354_355_356_357_358_359_360_361_362_363_364_365_366_367_368_369_370_371_372_373_374_375_376_377_378_379_380_381_382_383_384_385_386_387_388_389_390_391_392_393_394_395_396_397_398_399,
1,-250215.075,40456,7218.0,40456,0.822,,
2,-190365.91,40440,7218.0,40440,0.822,,
3,-133466.396,40440,7218.0,40440,0.822,,
4,-85479.479,39667,7218.0,39667,0.818,,
5,-45896.739,38708,7218.0,38708,0.814,,
6,-18936.598,35786,7218.0,35786,0.798,,
7,194.006,35345,7218.0,35345,0.796,,
8,10083.801,36261,10083.801,35345,0.715,,
9,16470.794,34996,16470.794,34996,0.529,,
10,20428.148,33099,20428.148,33099,0.383,,
11,22327.254,31090,22327.254,31090,0.282,,
12,23356.433,28823,23356.433,28823,0.19,,
13,23783.253,28429,23783.253,28429,0.163,,
14,23965.49,26117,23965.49,26117,0.082,,
15,24388.235,26049,24388.235,26049,0.064,,
16,24477.434,25233,24477.434,25233,0.03,,
17,24660.346,26042,24660.346,25233,0.023,_381_392,
18,24680.308,25616,24680.308,25233,0.022,_380,
19,24709.018,26800,24709.018,25233,0.021,_380_381_384_392,
20,24702.277,25238,24709.018,25233,0.021,,
21,24735.06,26310,24735.06,25233,0.02,_384_389_399,
22,24731.326,26696,24735.06,25233,0.02,_342_375_379_396,
23,24730.097,26371,24735.06,25233,0.02,_381_392_399,
24,24737.477,26362,24737.477,25233,0.02,_335_381_386,
25,24750.676,26727,24750.676,25233,0.019,_380_384_392_399,
26,24745.447,25676,24750.676,25233,0.019,_356,
27,24771.482,27497,24771.482,25233,0.018,_359_376_380_381_392_399,
28,24736.983,25553,24771.482,25233,0.018,_396,
29,24786.256,25551,24786.256,25233,0.018,_392,
30,24750.567,26315,24786.256,25233,0.018,_380_384_393,
31,24797.233,26398,24797.233,25233,0.017,_376_381_393,
32,24762.292,25985,24797.233,25233,0.017,_359_384,
33,24797.632,26348,24797.632,25233,0.017,_381_384_392,
34,24779.01,25953,24797.632,25233,0.017,_380_399,
35,24816.311,25578,24816.311,25233,0.017,_399,
36,24769.991,25578,24816.311,25233,0.017,_384,
37,24828.255,26733,24828.255,25233,0.016,_378_380_381_386,
38,24809.72,25650,24828.255,25233,0.016,_399,
39,24832.856,25214,24832.856,25214,0.015,,
40,24817.403,27906,24832.856,25214,0.015,_326_327_328_335_342_373_381,
41,24840.088,25548,24840.088,25214,0.015,_396,
42,24842.56,26712,24842.56,25214,0.015,_359_381_392_399,
43,24825.299,25174,24842.56,25174,0.013,,
44,24869.188,25928,24869.188,25174,0.012,_328_399,
45,24851.734,25548,24869.188,25174,0.012,_379,
46,24881.64,25234,24881.64,25174,0.012,,
47,24849.387,26289,24881.64,25174,0.012,_356_386_392,
48,24882.346,25890,24882.346,25174,0.012,_373_392,
49,24871.307,25543,24882.346,25174,0.012,_384,
50,24877.012,27489,24882.346,25174,0.012,_342_356_359_386_393_399,
51,24880.189,25329,24882.346,25174,0.012,,
52,24882.061,25941,24882.346,25174,0.012,_359_392,
53,24878.052,25169,24882.346,25169,0.011,,
54,24880.722,25552,24882.346,25169,0.011,_399,
55,24912.291,25219,24912.291,25169,0.01,,
56,24914.664,25912,24914.664,25169,0.01,_356_393,
57,24915.121,25172,24915.121,25169,0.01,,
58,24912.617,26292,24915.121,25169,0.01,_357_377_381,
59,24916.383,25554,24916.383,25169,0.01,_352,
60,24913.785,25501,24916.383,25169,0.01,_392,
61,24918.302,25181,24918.302,25169,0.01,,
Running time: 17.66 sec
