iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,2302.0,9519,2302.0,9519,0.758,_178_181_184_186_187_189_191_192_193_194_195_196_198_199,
1,-2097.215,3276,2302.0,3276,0.297,,
2,-1301.365,3270,2302.0,3270,0.296,,
3,-641.24,3165,2302.0,3165,0.273,,
4,-234.275,3142,2302.0,3142,0.267,,
5,108.295,2956,2302.0,2956,0.221,,
6,419.183,2934,2302.0,2934,0.215,,
7,658.594,2856,2302.0,2856,0.194,,
8,863.786,2856,2302.0,2856,0.194,,
9,1044.669,2792,2302.0,2792,0.176,,
10,1208.516,2781,2302.0,2781,0.172,,
11,1350.333,2715,2302.0,2715,0.152,,
12,1432.376,2701,2302.0,2701,0.148,,
13,1566.201,2690,2302.0,2690,0.144,,
14,1656.05,2684,2302.0,2684,0.142,,
15,1749.601,2637,2302.0,2637,0.127,,
16,1815.058,2590,2302.0,2590,0.111,,
17,1883.029,2556,2302.0,2556,0.099,,
18,1944.989,2571,2302.0,2556,0.099,,
19,1971.294,2510,2302.0,2510,0.083,,
20,2043.283,2486,2302.0,2486,0.074,,
21,2058.023,2499,2302.0,2486,0.074,,
22,2089.844,2466,2302.0,2466,0.067,,
23,2127.682,2424,2302.0,2424,0.05,,
24,2150.329,2443,2302.0,2424,0.05,,
25,2162.193,2450,2302.0,2424,0.05,,
26,2174.357,2429,2302.0,2424,0.05,,
27,2192.197,2427,2302.0,2424,0.05,,
28,2195.776,2414,2302.0,2414,0.046,,
29,2218.669,2414,2302.0,2414,0.046,,
30,2220.652,2395,2302.0,2395,0.039,,
31,2240.89,2404,2302.0,2395,0.039,,
32,2237.846,2400,2302.0,2395,0.039,,
33,2249.13,2400,2302.0,2395,0.039,,
34,2257.777,2401,2302.0,2395,0.039,,
35,2255.226,2391,2302.0,2391,0.037,,
36,2273.109,2380,2302.0,2380,0.033,,
37,2270.828,2372,2302.0,2372,0.03,,
38,2280.614,2378,2302.0,2372,0.03,,
39,2280.131,2375,2302.0,2372,0.03,,
40,2286.601,2386,2302.0,2372,0.03,,
41,2285.415,2369,2302.0,2369,0.028,,
42,2295.361,2383,2302.0,2369,0.028,,
43,2294.278,2364,2302.0,2364,0.026,,
44,2303.893,2358,2303.893,2358,0.023,,
45,2301.898,2369,2303.893,2358,0.023,,
46,2307.731,2374,2307.731,2358,0.021,,
47,2307.4,2365,2307.731,2358,0.021,,
48,2313.489,2365,2313.489,2358,0.019,,
49,2313.1,2358,2313.489,2358,0.019,,
50,2314.743,2365,2314.743,2358,0.018,,
51,2316.169,2367,2316.169,2358,0.018,,
52,2317.369,2375,2317.369,2358,0.017,,
53,2319.719,2377,2319.719,2358,0.016,,
54,2320.613,2358,2320.613,2358,0.016,,
55,2319.556,2381,2320.613,2358,0.016,,
56,2324.041,2381,2324.041,2358,0.014,,
57,2319.519,2362,2324.041,2358,0.014,,
58,2326.309,2355,2326.309,2355,0.012,,
59,2323.516,2383,2326.309,2355,0.012,,
60,2327.101,2358,2327.101,2355,0.012,,
61,2325.008,2368,2327.101,2355,0.012,,
62,2325.393,2358,2327.101,2355,0.012,,
63,2327.767,2379,2327.767,2355,0.012,,
64,2325.614,2349,2327.767,2349,0.009,,
Running time: 18.36 sec
