iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,-115.44,-127.29,-147.72,-173.26,-161.55,-145.09,-127.81,-150.19,-134.06,-175.8,-186.55,-113.25,-164.42,-153.2,-180.15,-94.76,-169.23,-81.76,-179.9,-123.32,-129.3,-6.71,-177.83,-191.06,-194.14,-164.49,-132.16,-143.42,-139.82,-129.87,-186.52,-197.12,-143.91,-176.68,-134.93,-122.3,-179.19,-145.7,-152.23,-181.96,-129.97,-154.13,-169.0,-164.45,-177.37,-167.51,-153.92,-136.55,-97.39,-160.2,-119.66,-146.97,-222.61,-165.11,-164.88,-118.98,-143.16,-132.93,-130.04,-145.23,-139.79,-133.32,-143.66,-132.51,-139.0,-182.09,-165.3,-162.42,-157.17,-146.54,-163.85,-171.44,-185.11,-162.07,-178.75,-145.86,-130.25,-211.23,-164.58,-139.32,-130.94,-137.05,-176.34,-148.91,-169.13,-184.31,-112.05,-136.19,-153.43,-125.77,-128.59,-160.46,-172.1,-170.37,-184.65,-205.5,-206.77,-138.64,-156.47,-32.35
11,-126.35,-127.29,-136.82,-173.26,-150.65,-134.18,-138.72,-161.09,-134.06,-175.8,-164.74,-124.16,-164.42,-153.2,-169.25,-105.66,-158.33,-92.66,-179.9,-134.23,-129.3,-17.62,-166.92,-180.15,-194.14,-175.4,-132.16,-143.42,-139.82,-140.77,-175.62,-197.12,-143.91,-176.68,-124.02,-122.3,-168.28,-145.7,-141.33,-171.05,-119.07,-154.13,-169.0,-164.45,-177.37,-167.51,-143.02,-136.55,-108.3,-149.3,-108.75,-136.06,-189.9,-165.11,-153.98,-108.08,-132.25,-122.02,-130.04,-145.23,-128.89,-144.23,-121.85,-132.51,-139.0,-171.18,-165.3,-162.42,-157.17,-146.54,-163.85,-171.44,-174.21,-140.26,-156.94,-124.05,-130.25,-200.32,-142.77,-139.32,-120.04,-115.24,-176.34,-148.91,-158.23,-162.5,-122.95,-136.19,-153.43,-125.77,-128.59,-160.46,-161.19,-170.37,-173.75,-194.59,-163.15,-127.74,-167.37,-43.25
12,-112.54,-127.29,-123.0,-159.45,-150.65,-134.18,-138.72,-161.09,-120.25,-161.99,-164.74,-110.35,-164.42,-125.58,-155.44,-119.48,-158.33,-106.48,-166.09,-120.42,-129.3,-31.43,-153.11,-166.34,-180.33,-161.59,-132.16,-129.61,-126.01,-126.96,-175.62,-169.49,-143.91,-162.87,-124.02,-122.3,-154.47,-145.7,-141.33,-157.24,-132.88,-154.13,-169.0,-150.64,-163.56,-153.7,-129.21,-136.55,-122.11,-149.3,-122.56,-136.06,-189.9,-137.48,-140.17,-121.89,-132.25,-108.21,-130.04,-131.42,-128.89,-130.42,-135.66,-132.51,-139.0,-157.37,-165.3,-148.61,-157.17,-146.54,-150.04,-157.63,-160.39,-140.26,-156.94,-137.86,-130.25,-186.51,-128.96,-139.32,-133.85,-129.05,-162.53,-148.91,-144.41,-162.5,-122.95,-136.19,-153.43,-125.77,-114.78,-146.65,-147.38,-156.56,-159.94,-180.78,-176.96,-113.92,-139.75,-57.06
13,-121.78,-127.29,-132.25,-159.45,-141.4,-124.93,-138.72,-161.09,-129.5,-161.99,-155.49,-119.59,-145.93,-134.83,-155.44,-110.23,-149.08,-115.72,-156.84,-129.67,-120.05,-40.68,-153.11,-157.09,-171.08,-152.34,-132.16,-138.86,-126.01,-117.71,-157.12,-169.49,-125.42,-153.62,-114.78,-122.3,-154.47,-136.46,-132.08,-147.99,-123.63,-154.13,-169.0,-150.64,-154.32,-153.7,-138.45,-136.55,-112.86,-140.05,-113.32,-136.06,-171.41,-137.48,-149.41,-112.64,-132.25,-117.46,-130.04,-131.42,-128.89,-130.42,-117.17,-123.26,-139.0,-148.12,-146.81,-148.61,-147.93,-146.54,-150.04,-148.38,-160.39,-131.01,-147.7,-119.37,-130.25,-186.51,-138.2,-139.32,-106.11,-119.81,-153.28,-139.66,-153.66,-153.25,-122.95,-126.94,-153.43,-125.77,-124.03,-146.65,-147.38,-156.56,-159.94,-171.54,-149.22,-123.17,-149.0,-66.31
14,-111.51,-117.02,-121.98,-138.91,-141.4,-124.93,-128.45,-161.09,-119.23,-151.72,-145.22,-109.32,-145.93,-134.83,-145.17,-99.96,-138.81,-115.72,-146.57,-119.4,-120.05,-50.95,-142.84,-146.82,-171.08,-142.07,-132.16,-128.59,-126.01,-127.98,-157.12,-169.49,-125.42,-143.35,-125.05,-122.3,-144.2,-136.46,-132.08,-137.72,-113.36,-123.32,-158.73,-140.37,-154.32,-143.43,-128.18,-136.55,-123.13,-140.05,-123.59,-136.06,-171.41,-137.48,-139.14,-112.64,-121.98,-107.19,-130.04,-121.15,-118.62,-130.42,-127.44,-123.26,-139.0,-137.85,-146.81,-138.34,-147.93,-146.54,-150.04,-148.38,-139.85,-141.28,-147.7,-129.64,-119.98,-165.97,-117.66,-129.06,-116.38,-130.08,-143.01,-139.66,-143.39,-142.98,-122.95,-126.94,-143.16,-125.77,-113.76,-146.65,-147.38,-146.29,-149.67,-161.27,-159.49,-123.17,-138.73,-76.58
15,-119.42,-117.02,-121.98,-138.91,-125.6,-124.93,-128.45,-161.09,-127.13,-151.72,-145.22,-117.23,-138.02,-134.83,-145.17,-107.86,-138.81,-107.82,-146.57,-127.3,-120.05,-58.85,-142.84,-138.92,-155.28,-149.97,-116.36,-120.69,-126.01,-120.08,-141.32,-153.69,-125.42,-143.35,-117.14,-122.3,-144.2,-128.56,-132.08,-129.82,-113.36,-123.32,-158.73,-140.37,-146.41,-143.43,-136.08,-128.65,-107.33,-132.15,-115.68,-128.16,-155.6,-137.48,-139.14,-112.64,-121.98,-115.09,-130.04,-129.05,-110.71,-122.52,-127.44,-123.26,-139.0,-145.76,-138.91,-138.34,-140.02,-138.64,-142.14,-140.48,-139.85,-125.48,-139.79,-113.84,-119.98,-165.97,-125.56,-129.06,-124.28,-106.37,-143.01,-131.76,-135.49,-142.98,-122.95,-126.94,-143.16,-125.77,-121.66,-138.74,-139.48,-146.29,-149.67,-153.36,-135.79,-115.27,-130.82,-84.48
16,-119.42,-117.02,-121.98,-129.95,-134.56,-115.98,-128.45,-152.14,-118.17,-142.77,-127.31,-108.27,-138.02,-107.96,-136.21,-107.86,-129.85,-116.78,-137.62,-118.34,-111.1,-67.81,-133.88,-138.92,-155.28,-141.01,-116.36,-129.64,-117.05,-120.08,-150.28,-153.69,-125.42,-134.4,-108.19,-113.34,-135.24,-128.56,-132.08,-129.82,-122.32,-123.32,-140.81,-131.41,-137.46,-143.43,-127.13,-128.65,-116.29,-132.15,-115.68,-128.16,-155.6,-119.57,-130.19,-112.64,-121.98,-106.13,-121.08,-120.1,-119.67,-122.52,-109.52,-123.26,-139.0,-136.8,-138.91,-138.34,-131.07,-138.64,-133.18,-140.48,-139.85,-125.48,-130.84,-122.79,-119.98,-157.02,-125.56,-129.06,-106.36,-115.33,-134.05,-131.76,-126.53,-142.98,-122.95,-126.94,-134.2,-116.82,-112.7,-138.74,-139.48,-137.33,-140.71,-144.41,-144.74,-115.27,-130.82,-93.44
17,-110.73,-117.02,-121.98,-129.95,-125.87,-124.66,-128.45,-152.14,-126.86,-134.08,-135.99,-108.27,-129.34,-116.64,-136.21,-99.18,-129.85,-108.09,-137.62,-127.02,-111.1,-76.49,-133.88,-130.24,-146.59,-141.01,-116.36,-120.96,-125.73,-111.4,-132.91,-153.69,-125.42,-134.4,-116.87,-113.34,-126.56,-128.56,-123.4,-129.82,-113.64,-123.32,-140.81,-131.41,-128.77,-134.74,-127.13,-128.65,-116.29,-132.15,-115.68,-128.16,-138.23,-119.57,-138.87,-112.64,-121.98,-114.82,-121.08,-120.1,-110.99,-122.52,-118.21,-123.26,-130.31,-128.11,-130.22,-138.34,-131.07,-138.64,-133.18,-140.48,-131.17,-116.8,-130.84,-105.42,-119.98,-148.33,-116.88,-120.37,-115.05,-124.01,-134.05,-123.08,-135.22,-125.61,-114.27,-109.57,-134.2,-116.82,-121.39,-130.06,-139.48,-128.64,-132.02,-135.72,-118.69,-115.27,-122.14,-102.13
18,-117.13,-117.02,-121.98,-129.95,-125.87,-118.26,-122.04,-132.93,-120.45,-134.08,-123.19,-108.27,-129.34,-123.04,-129.81,-105.58,-129.85,-114.5,-131.21,-120.62,-111.1,-82.89,-127.48,-130.24,-140.19,-134.61,-116.36,-120.96,-119.33,-117.8,-139.31,-134.48,-112.61,-127.99,-110.47,-113.34,-126.56,-115.75,-123.4,-123.42,-113.64,-123.32,-134.41,-125.01,-128.77,-134.74,-127.13,-122.25,-103.48,-125.75,-115.68,-128.16,-138.23,-119.57,-132.47,-112.64,-109.18,-114.82,-121.08,-120.1,-117.39,-122.52,-118.21,-116.86,-123.91,-134.52,-130.22,-131.94,-124.66,-132.24,-133.18,-134.08,-131.17,-123.2,-130.84,-111.83,-113.58,-141.93,-123.28,-120.37,-115.05,-104.81,-127.65,-123.08,-128.81,-132.02,-114.27,-115.97,-134.2,-116.82,-108.58,-130.06,-133.08,-135.05,-138.43,-135.72,-125.09,-108.87,-122.14,-108.53
19,-108.8,-108.69,-113.65,-121.62,-125.87,-109.93,-122.04,-132.93,-112.12,-134.08,-123.19,-108.27,-121.01,-106.39,-129.81,-105.58,-121.53,-106.17,-131.21,-128.95,-111.1,-91.22,-127.48,-130.24,-140.19,-134.61,-116.36,-112.63,-119.33,-109.47,-122.65,-134.48,-120.94,-136.32,-110.47,-113.34,-126.56,-124.08,-123.4,-123.42,-113.64,-123.32,-134.41,-125.01,-120.44,-126.42,-118.8,-122.25,-111.81,-125.75,-115.68,-128.16,-129.9,-119.57,-124.14,-112.64,-117.51,-106.49,-121.08,-111.77,-109.06,-122.52,-118.21,-116.86,-123.91,-126.19,-121.9,-123.61,-124.66,-132.24,-116.53,-125.75,-122.84,-114.87,-114.18,-120.15,-113.58,-133.6,-114.95,-120.37,-106.72,-113.13,-119.32,-123.08,-120.49,-123.69,-114.27,-124.3,-117.55,-116.82,-116.91,-130.06,-124.75,-118.39,-130.1,-135.72,-133.42,-108.87,-122.14,-100.2
