iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,1962.0,19941,1962.0,19941,0.902,_53_57_59_60_61_62_63_64_65_66_70_71_72_76_77_78_79_80_81_83_84_85_86_88_90_91_92_93_94_95_97_98_99,
1,-38719.44,10121,1962.0,10121,0.806,,
2,-26366.303,10139,1962.0,10121,0.806,,
3,-14511.396,9810,1962.0,9810,0.8,,
4,-5606.566,9022,1962.0,9022,0.783,,
5,-1010.251,8217,1962.0,8217,0.761,,
6,2264.369,7181,2264.369,7181,0.685,,
7,3291.075,8148,3291.075,7181,0.542,_93_94_99,
8,3571.007,11130,3571.007,7181,0.503,_66_76_77_78_80_85_86_92_93_95_97,
9,3787.22,10228,3787.22,7181,0.473,_76_84_86_88_89_94_97_98_99,
10,3761.034,9882,3787.22,7181,0.473,_81_84_85_88_92_93_94_99,
11,3457.426,11112,3787.22,7181,0.473,_66_70_72_76_78_84_85_90_94_97_99,
12,3508.188,13461,3787.22,7181,0.473,_65_72_76_78_79_81_82_83_85_86_88_92_93_94_97_98_99,
13,3663.099,10672,3787.22,7181,0.473,_66_72_76_77_78_82_84_85_93_99,
14,3656.722,12683,3787.22,7181,0.473,_64_66_76_79_81_83_84_85_86_88_92_93_94_97_98,
15,3433.292,10819,3787.22,7181,0.473,_66_72_77_78_81_84_91_93_97_99,
16,3912.881,11424,3912.881,7181,0.455,_78_79_81_84_85_86_88_90_91_93_94_97,
17,4118.281,13405,4118.281,7181,0.427,_57_65_66_70_72_76_77_78_80_83_85_92_93_94_95_98_99,
18,4466.333,13805,4466.333,7181,0.378,_66_70_72_76_77_78_81_82_84_86_88_89_91_93_94_96_98_99,
19,4604.052,14137,4604.052,7181,0.359,_60_62_66_72_76_77_78_80_84_85_86_89_90_91_92_93_94_97_99,
20,4721.966,12983,4721.966,7181,0.342,_51_57_61_66_72_76_77_81_83_84_85_86_88_90_97_99,
21,5026.904,12582,5026.904,7181,0.3,_60_61_62_66_76_78_80_84_86_89_91_92_93_94_95,
22,4950.885,12618,5026.904,7181,0.3,_57_59_63_64_65_72_77_79_81_85_88_91_93_97_99,
23,5205.618,10993,5205.618,7181,0.275,_57_66_68_70_77_78_81_84_85_94_99,
24,5327.309,10689,5327.309,7181,0.258,_76_81_84_86_91_93_94_96_97_99,
25,5533.417,12159,5533.417,7181,0.229,_60_64_76_78_80_81_85_90_91_92_93_96_97_98,
26,5551.084,10227,5551.084,7181,0.227,_78_81_82_85_90_91_94_97_99,
27,5559.502,10977,5559.502,7181,0.226,_70_78_79_85_86_88_89_93_95_97_99,
28,5690.21,10527,5690.21,7181,0.208,_77_78_80_88_90_92_93_94_95_99,
29,5712.497,8145,5712.497,7181,0.204,_77_91_94_99,
30,5734.672,9368,5734.672,7181,0.201,_76_78_86_88_91_94_95,
31,5755.198,10140,5755.198,7181,0.199,_72_77_81_88_89_90_93_95_99,
32,5794.073,7422,5794.073,7181,0.193,_93_99,
33,5719.762,9806,5794.073,7181,0.193,_78_86_88_91_92_94_97_99,
34,5826.174,7768,5826.174,7181,0.189,_90_93_99,
35,5805.88,8963,5826.174,7181,0.189,_84_85_92_93_94_97,
36,5841.022,6573,5841.022,6573,0.111,,
37,6005.807,6979,6005.807,6573,0.086,_93,
38,6038.414,8173,6038.414,6573,0.081,_76_84_85_94,
39,6141.307,10071,6141.307,6573,0.066,_66_77_80_83_85_90_92_93_99,
40,6197.471,6491,6197.471,6491,0.045,,
41,6200.571,7688,6200.571,6491,0.045,_66_76_77,
42,6246.778,8109,6246.778,6491,0.038,_72_88_90_99,
43,6243.042,6475,6246.778,6475,0.035,,
44,6254.677,6980,6254.677,6475,0.034,_99,
45,6262.11,7752,6262.11,6475,0.033,_92_94_99,
