iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,-240.94,-247.29,-264.28,-165.21,-181.05,-230.19,-229.93,-214.72,-287.64,-293.83,-212.36,-230.18,-248.83,-257.67,-179.17,-233.75,-233.32,-309.53,-284.58,-223.89,-238.97,-250.6,-217.74,-192.84,-241.13,-244.61,-334.21,-168.73,-326.36,-223.54,-225.9,-208.52,-280.48,-182.08,-232.89,-235.27,-309.12,-248.21,-240.04,-235.27,-239.73,-211.92,-273.12,-234.19,-207.82,-230.23,-246.65,-272.2,-188.17,-248.17,-191.37,-219.71,-205.05,-241.78,-235.12,-255.17,-233.99,-222.19,-304.14,-228.03,-234.61,-207.89,-327.39,-215.36,-218.27,-244.53,-260.41,-246.17,-208.79,-225.22,-288.55,-204.01,-190.27,-250.43,-223.37,-256.5,-239.36,-227.7,-228.86,-235.43,-316.36,-236.85,-246.04,-281.54,-250.41,-250.51,-256.82,-223.05,-491.98,-227.45,-247.04,-211.7,-239.2,-234.66,-260.78,-257.74,-292.21,-236.06,-243.78,-185.25
11,-240.94,-247.29,-264.28,-208.67,-224.51,-230.19,-186.47,-258.19,-287.64,-293.83,-255.83,-230.18,-248.83,-214.21,-222.63,-233.75,-233.32,-266.07,-241.12,-267.35,-238.97,-250.6,-261.2,-236.3,-197.67,-244.61,-377.68,-212.2,-326.36,-223.54,-225.9,-208.52,-237.02,-225.55,-189.43,-235.27,-352.58,-248.21,-196.58,-191.81,-239.73,-211.92,-229.65,-277.65,-251.28,-273.69,-290.12,-315.66,-231.63,-248.17,-234.84,-219.71,-248.51,-241.78,-191.66,-255.17,-277.45,-222.19,-304.14,-228.03,-234.61,-251.35,-327.39,-258.83,-218.27,-201.07,-173.48,-246.17,-252.25,-225.22,-288.55,-247.47,-233.73,-206.97,-223.37,-256.5,-195.9,-227.7,-228.86,-191.97,-316.36,-236.85,-159.11,-281.54,-206.95,-250.51,-256.82,-266.51,-491.98,-227.45,-247.04,-255.16,-239.2,-234.66,-260.78,-301.2,-292.21,-236.06,-243.78,-228.72
12,-263.8,-247.29,-264.28,-231.52,-247.36,-230.19,-209.32,-235.33,-310.49,-293.83,-232.98,-230.18,-248.83,-237.06,-222.63,-233.75,-233.32,-288.92,-263.97,-198.8,-238.97,-273.45,-215.5,-213.45,-220.52,-244.61,-354.82,-235.05,-326.36,-223.54,-225.9,-231.38,-259.87,-225.55,-212.28,-258.12,-352.58,-248.21,-219.43,-214.66,-239.73,-234.77,-252.5,-254.8,-251.28,-250.84,-267.26,-292.81,-231.63,-248.17,-211.98,-219.71,-225.66,-241.78,-214.51,-255.17,-254.6,-222.19,-304.14,-250.88,-234.61,-205.65,-327.39,-235.98,-241.12,-223.92,-196.34,-246.17,-206.55,-225.22,-288.55,-224.62,-233.73,-229.82,-223.37,-279.35,-218.75,-227.7,-251.71,-214.82,-316.36,-236.85,-181.96,-281.54,-229.8,-250.51,-279.67,-243.66,-514.83,-250.3,-247.04,-232.31,-239.2,-257.51,-260.78,-278.35,-292.21,-213.21,-243.78,-205.86
13,-242.14,-247.29,-264.28,-253.17,-204.06,-230.19,-230.98,-213.68,-288.84,-293.83,-232.98,-208.53,-248.83,-237.06,-244.29,-255.4,-233.32,-310.57,-285.62,-220.45,-238.97,-251.8,-237.15,-235.1,-242.17,-244.61,-376.48,-191.74,-326.36,-223.54,-247.56,-209.72,-238.22,-225.55,-233.93,-236.47,-352.58,-269.87,-219.43,-236.31,-239.73,-213.12,-274.16,-233.15,-229.63,-250.84,-267.26,-314.46,-231.63,-248.17,-233.64,-241.36,-247.32,-241.78,-236.16,-255.17,-254.6,-243.84,-304.14,-207.58,-234.61,-227.3,-327.39,-235.98,-197.82,-223.92,-217.99,-246.17,-228.2,-246.87,-288.55,-224.62,-233.73,-251.47,-245.03,-257.7,-240.41,-227.7,-251.71,-236.47,-316.36,-236.85,-203.61,-281.54,-251.45,-250.51,-236.37,-222.01,-514.83,-250.3,-247.04,-253.96,-239.2,-235.86,-260.78,-300.01,-292.21,-234.86,-243.78,-227.52
14,-242.14,-247.29,-264.28,-226.4,-230.83,-256.96,-230.98,-240.45,-315.61,-320.61,-259.75,-235.3,-248.83,-237.06,-190.74,-255.4,-233.32,-283.8,-285.62,-247.22,-238.97,-278.57,-263.92,-208.33,-215.4,-244.61,-349.7,-218.52,-326.36,-223.54,-247.56,-236.5,-264.99,-225.55,-207.16,-263.24,-352.58,-269.87,-246.2,-209.54,-239.73,-239.89,-247.38,-259.92,-256.4,-250.84,-267.26,-287.69,-231.63,-248.17,-233.64,-214.59,-220.54,-241.78,-262.93,-255.17,-254.6,-243.84,-304.14,-234.35,-234.61,-227.3,-327.39,-262.75,-224.59,-250.69,-244.76,-246.17,-228.2,-220.1,-288.55,-251.39,-260.51,-224.7,-191.48,-257.7,-240.41,-254.47,-251.71,-236.47,-316.36,-236.85,-230.39,-281.54,-224.68,-250.51,-263.14,-248.78,-514.83,-250.3,-247.04,-227.19,-239.2,-262.63,-260.78,-273.23,-292.21,-234.86,-243.78,-227.52
15,-242.14,-247.29,-264.28,-252.69,-230.83,-256.96,-257.27,-214.16,-289.32,-294.31,-233.45,-209.01,-248.83,-263.36,-217.04,-255.4,-233.32,-310.09,-259.32,-220.93,-238.97,-278.57,-263.92,-234.63,-241.69,-244.61,-376.0,-244.81,-326.36,-223.54,-247.56,-210.2,-264.99,-225.55,-233.46,-236.95,-352.58,-269.87,-219.91,-235.83,-239.73,-213.6,-273.68,-233.63,-256.4,-250.84,-267.26,-313.98,-257.93,-248.17,-207.34,-240.89,-246.84,-241.78,-236.64,-255.17,-254.6,-243.84,-304.14,-234.35,-234.61,-227.3,-327.39,-236.45,-250.89,-224.4,-244.76,-246.17,-228.2,-246.39,-288.55,-225.1,-234.21,-250.99,-217.78,-283.99,-266.7,-175.59,-251.71,-236.47,-316.36,-236.85,-256.68,-281.54,-250.97,-250.51,-236.84,-248.78,-541.12,-250.3,-247.04,-253.49,-239.2,-262.63,-260.78,-299.53,-292.21,-234.86,-243.78,-253.81
16,-260.12,-247.29,-264.28,-234.72,-230.83,-256.96,-239.3,-232.14,-307.29,-312.29,-251.43,-226.98,-266.8,-263.36,-235.01,-255.4,-233.32,-292.12,-277.3,-238.9,-256.95,-278.57,-263.92,-234.63,-223.72,-244.61,-376.0,-208.86,-326.36,-241.51,-229.58,-228.18,-282.97,-225.55,-251.43,-254.92,-352.58,-269.87,-237.88,-253.81,-239.73,-231.58,-255.7,-251.6,-256.4,-250.84,-267.26,-313.98,-257.93,-248.17,-225.32,-240.89,-228.86,-241.78,-236.64,-255.17,-254.6,-243.84,-304.14,-252.32,-234.61,-227.3,-327.39,-254.43,-214.94,-242.37,-226.79,-246.17,-228.2,-228.42,-288.55,-225.1,-252.19,-233.02,-235.75,-283.99,-248.72,-193.57,-251.71,-254.45,-316.36,-236.85,-220.73,-281.54,-233.0,-250.51,-254.82,-230.8,-523.15,-250.3,-247.04,-235.51,-239.2,-262.63,-260.78,-299.53,-292.21,-234.86,-243.78,-217.86
17,-260.12,-247.29,-264.28,-259.35,-230.83,-256.96,-239.3,-232.14,-282.66,-287.65,-251.43,-251.61,-266.8,-238.73,-235.01,-255.4,-233.32,-316.75,-301.93,-238.9,-256.95,-278.57,-239.29,-234.63,-248.35,-244.61,-376.0,-233.49,-326.36,-241.51,-254.21,-228.18,-258.33,-225.55,-226.8,-254.92,-352.58,-269.87,-213.25,-229.18,-239.73,-231.58,-280.34,-226.97,-256.4,-250.84,-267.26,-289.35,-257.93,-248.17,-249.95,-216.25,-253.49,-241.78,-236.64,-255.17,-254.6,-243.84,-304.14,-227.69,-234.61,-227.3,-327.39,-229.8,-239.57,-217.74,-251.42,-246.17,-228.2,-228.42,-288.55,-249.73,-227.56,-257.65,-235.75,-283.99,-224.09,-218.2,-251.71,-229.82,-316.36,-236.85,-245.36,-281.54,-257.63,-250.51,-279.45,-255.44,-523.15,-250.3,-247.04,-260.14,-239.2,-262.63,-260.78,-324.16,-292.21,-259.5,-243.78,-242.49
18,-260.12,-247.29,-264.28,-248.96,-230.83,-256.96,-249.69,-242.53,-293.05,-298.05,-251.43,-241.22,-266.8,-249.12,-235.01,-265.8,-233.32,-306.36,-291.54,-238.9,-256.95,-278.57,-249.68,-234.63,-237.96,-255.0,-376.0,-223.1,-326.36,-241.51,-254.21,-228.18,-258.33,-225.55,-237.19,-254.92,-352.58,-269.87,-223.64,-239.57,-250.13,-231.58,-269.94,-237.36,-256.4,-250.84,-267.26,-299.75,-257.93,-248.17,-229.16,-226.65,-243.1,-241.78,-247.03,-255.17,-254.6,-243.84,-304.14,-238.08,-234.61,-227.3,-327.39,-240.19,-229.18,-228.13,-241.02,-256.56,-228.2,-238.81,-288.55,-239.33,-237.95,-247.26,-246.14,-283.99,-234.49,-228.59,-251.71,-240.21,-316.36,-236.85,-245.36,-281.54,-247.24,-250.51,-269.06,-245.04,-523.15,-250.3,-247.04,-249.75,-239.2,-262.63,-260.78,-313.77,-292.21,-249.1,-243.78,-232.1
19,-260.12,-247.29,-264.28,-233.81,-230.83,-256.96,-234.54,-227.38,-308.2,-313.2,-251.43,-226.07,-266.8,-249.12,-235.01,-250.65,-233.32,-306.36,-306.69,-254.05,-256.95,-278.57,-264.83,-234.63,-222.81,-255.0,-376.0,-223.1,-326.36,-241.51,-254.21,-228.18,-258.33,-225.55,-237.19,-270.07,-352.58,-269.87,-223.64,-239.57,-250.13,-231.58,-269.94,-252.52,-256.4,-250.84,-267.26,-314.9,-257.93,-248.17,-229.16,-241.8,-243.1,-241.78,-247.03,-255.17,-254.6,-243.84,-304.14,-238.08,-234.61,-227.3,-327.39,-255.34,-244.33,-243.28,-241.02,-256.56,-228.2,-253.96,-288.55,-239.33,-253.1,-232.11,-230.99,-283.99,-249.64,-228.59,-251.71,-240.21,-316.36,-236.85,-230.21,-281.54,-247.24,-250.51,-253.91,-245.04,-523.15,-250.3,-247.04,-264.9,-239.2,-262.63,-260.78,-298.61,-292.21,-249.1,-243.78,-232.1
