iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,-18,-12,-17,-10,-10,-17,-20,-20,-11,-12,-17,-13,-10,-18,-12,-12,-11,-12,-14,-15,-16,-10,-11,-19,-13,-20,-22,-10,-21,-10,-17,-10,-18,-11,-12,-12,-10,-23,-27,-14,-16,-10,-13,-11,-17,-12,-14,-14,-10,-11,-24,-14,-12,-11,-21,-11,-16,-13,-12,-10,-14,-12,-10,-10,-10,-20,-12,-12,-10,-11,-14,-11,-17,-11,-10,-12,-10,-12,-10,-11,-14,-12,-15,-10,-11,-11,-12,-10,-18,-10,-12,-10,-20,-15,-19,-10,-11,-13,-12,-14
1,-18.35,-12.35,-17.35,-10.35,-10.35,-17.35,-20.35,-20.35,-11.35,-12.35,-17.35,-13.35,-10.35,-18.35,-12.35,-12.35,-11.35,-12.35,-14.35,-15.35,-16.35,-10.35,-11.35,-19.35,-13.35,-20.35,-22.35,-10.35,-21.35,-10.35,-17.35,-10.35,-18.35,-11.35,-12.35,-12.35,-10.35,-23.35,-27.35,-14.35,-16.35,-10.35,-13.35,-11.35,-17.35,-12.35,-14.35,-14.35,-10.35,-11.35,-24.35,-14.35,-12.35,-11.35,-21.35,-11.35,-16.35,-13.35,-12.35,-10.35,-14.35,-12.35,-10.35,-10.35,-10.35,-20.35,-12.35,-12.35,-10.35,-11.35,-14.35,-11.35,-17.35,-11.35,-10.35,-12.35,-10.35,-12.35,-10.35,-11.35,-14.35,-12.35,-15.35,-10.35,-11.35,-11.35,-12.35,-10.35,-18.35,-10.35,-12.35,-10.35,-20.35,-15.35,-19.35,-10.35,-11.35,-13.35,-12.35,-14.35
2,-17.79,-12.35,-16.23,-9.79,-10.35,-17.35,-20.35,-20.35,-11.35,-12.35,-17.35,-13.91,-10.35,-18.35,-12.35,-12.35,-11.35,-12.35,-14.91,-14.79,-15.79,-10.35,-11.35,-19.35,-13.35,-20.35,-21.23,-10.35,-21.35,-10.91,-16.79,-10.35,-18.35,-11.35,-12.35,-12.91,-10.35,-23.35,-27.35,-14.35,-16.35,-10.35,-13.35,-11.35,-17.35,-12.35,-14.35,-14.91,-10.35,-11.35,-24.35,-14.35,-12.35,-11.35,-21.35,-11.35,-16.35,-13.35,-12.35,-10.35,-14.35,-11.79,-10.35,-10.35,-10.35,-20.35,-12.35,-12.35,-10.35,-11.35,-14.91,-11.35,-17.35,-10.79,-10.35,-12.35,-10.35,-12.35,-10.35,-11.91,-14.35,-12.35,-15.35,-10.35,-11.35,-11.35,-12.35,-10.35,-17.79,-10.35,-12.35,-10.35,-19.79,-15.35,-18.79,-10.35,-11.35,-13.35,-12.35,-14.35
3,-18.57,-12.35,-17.01,-10.57,-10.35,-17.35,-20.35,-20.35,-11.35,-12.35,-17.35,-13.91,-10.35,-18.35,-12.35,-12.35,-11.35,-12.35,-14.91,-15.57,-16.57,-10.35,-11.35,-19.35,-13.35,-20.35,-22.01,-10.35,-21.35,-10.91,-17.57,-10.35,-19.13,-11.35,-12.35,-12.91,-10.35,-23.35,-27.35,-14.35,-15.57,-10.35,-13.35,-11.35,-17.35,-12.35,-14.35,-14.91,-10.35,-11.35,-25.13,-14.35,-12.35,-11.35,-22.13,-11.35,-16.35,-13.35,-12.35,-10.35,-14.35,-12.57,-10.35,-9.57,-10.35,-20.35,-12.35,-12.35,-10.35,-11.35,-14.91,-11.35,-17.35,-11.57,-10.35,-12.35,-10.35,-12.35,-10.35,-11.91,-14.35,-12.35,-15.35,-10.35,-11.35,-11.35,-12.35,-10.35,-18.57,-10.35,-12.35,-11.13,-20.57,-15.35,-19.57,-10.35,-11.35,-13.35,-12.35,-14.35
4,-18.13,-12.79,-16.13,-9.69,-10.35,-17.35,-20.35,-20.35,-11.79,-12.79,-17.35,-13.91,-10.35,-18.35,-12.35,-12.35,-11.35,-12.35,-14.91,-15.13,-16.13,-10.35,-11.35,-19.35,-13.35,-20.35,-21.13,-10.79,-21.35,-10.91,-17.13,-10.79,-19.13,-11.35,-12.35,-12.91,-10.35,-23.35,-27.35,-14.35,-16.01,-10.35,-13.35,-11.35,-17.35,-12.35,-14.35,-14.91,-10.35,-11.35,-25.13,-14.35,-12.35,-11.35,-22.13,-11.35,-16.35,-13.79,-12.35,-10.35,-14.35,-12.13,-10.35,-10.01,-10.35,-20.35,-12.35,-12.35,-10.35,-11.35,-14.91,-11.35,-17.35,-11.13,-10.35,-12.35,-10.35,-12.79,-10.35,-11.91,-14.35,-12.35,-15.35,-10.79,-11.35,-11.35,-12.35,-10.35,-18.13,-10.35,-12.35,-11.13,-20.13,-15.79,-19.13,-10.35,-11.35,-13.35,-12.35,-14.35
5,-19.13,-12.79,-17.13,-10.69,-10.35,-17.35,-20.35,-20.35,-11.79,-12.79,-17.35,-13.91,-10.35,-18.35,-12.35,-12.35,-11.35,-12.35,-14.91,-14.13,-15.13,-10.35,-11.35,-19.35,-13.35,-21.35,-22.13,-10.79,-21.35,-10.91,-16.13,-10.79,-19.13,-11.35,-12.35,-12.91,-10.35,-23.35,-27.35,-14.35,-15.01,-10.35,-13.35,-11.35,-17.35,-12.35,-14.35,-14.91,-10.35,-11.35,-25.13,-14.35,-12.35,-12.35,-22.13,-11.35,-16.35,-13.79,-12.35,-10.35,-14.35,-11.13,-10.35,-11.01,-10.35,-20.35,-12.35,-12.35,-10.35,-11.35,-14.91,-11.35,-17.35,-11.13,-10.35,-12.35,-10.35,-12.79,-10.35,-11.91,-14.35,-12.35,-15.35,-10.79,-11.35,-11.35,-12.35,-10.35,-17.13,-10.35,-12.35,-11.13,-20.13,-15.79,-20.13,-10.35,-11.35,-13.35,-12.35,-14.35
