iteration,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
10,-24,-10,-16,-19,-21,-19,-25,-23,-26,-15,-30,-25,-25,-29,-22,-21,-30,-24,-30,-19,-22,-19,-33,-23,-30,-15,-16,-15,-20,-21,-19,-15,-23,-10,-16,-17,-20,-29,-22,-16,-21,-29,-16,-16,-19,-17,-28,-15,-41,-30,-20,-31,-27,-19,-19,-20,-28,-23,-31,-18,-10,-15,-27,-35,-17,-16,-19,-15,-26,-24,-37,-24,-24,-23,-33,-19,-15,-28,-24,-27,-29,-15,-19,-19,-26,-20,-16,-15,-20,-27,-24,-22,-21,-16,-23,-21,-20,-32,-32,-30,-26,-25,-15,-23,-29,-18,-29,-21,-11,-26,-24,-26,-16,-23,-35,-22,-21,-16,-20,-25,-17,-44,-25,-31,-19,-22,-19,-32,-24,-22,-26,-19,-20,-16,-21,-22,-21,-26,-15,-24,-20,-24,-16,-18,-30,-21,-17,-26,-15,-27,-43,-17,-22,-16,-24,-22,-22,-16,-13,-20,-20,-25,-25,-18,-20,-34,-31,-15,-25,-21,-23,-20,-15,-20,-23,-23,-38,-19,-16,-45,-21,-30,-32,-18,-15,-30,-29,-21,-21,-23,-22,-29,-18,-23,-18,-18,-21,-23,-15,-23
11,-24,-10,-16,-19,-26,-24,-25,-23,-26,-15,-30,-25,-20,-29,-22,-21,-30,-24,-30,-19,-27,-24,-33,-23,-30,-20,-16,-20,-20,-21,-19,-15,-23,-15,-16,-17,-20,-29,-22,-16,-21,-29,-16,-21,-19,-17,-28,-15,-41,-30,-20,-31,-32,-19,-19,-20,-28,-28,-31,-18,-15,-15,-27,-35,-17,-16,-19,-15,-26,-24,-37,-24,-24,-23,-33,-19,-15,-28,-24,-27,-34,-15,-24,-19,-31,-20,-16,-15,-20,-27,-24,-22,-21,-16,-23,-21,-25,-32,-32,-30,-26,-25,-20,-23,-29,-18,-29,-21,-11,-26,-24,-26,-16,-23,-35,-22,-21,-16,-20,-25,-17,-44,-25,-31,-19,-22,-19,-32,-24,-22,-31,-24,-20,-16,-21,-22,-21,-26,-15,-24,-20,-24,-16,-18,-30,-21,-17,-26,-15,-27,-43,-17,-22,-16,-24,-22,-22,-16,-18,-20,-20,-25,-25,-23,-20,-34,-31,-15,-25,-21,-23,-20,-15,-20,-23,-23,-38,-19,-16,-45,-21,-35,-32,-18,-15,-30,-29,-21,-21,-23,-22,-29,-18,-23,-18,-18,-21,-23,-15,-23
12,-24,-10,-16,-19,-26,-24,-25,-28,-26,-15,-30,-25,-20,-29,-22,-21,-30,-24,-30,-19,-22,-24,-38,-23,-30,-20,-16,-20,-20,-21,-19,-15,-23,-10,-16,-17,-25,-29,-27,-16,-21,-29,-16,-21,-19,-17,-28,-15,-41,-30,-20,-36,-32,-19,-19,-20,-28,-28,-31,-18,-15,-15,-27,-35,-17,-16,-19,-20,-26,-24,-37,-29,-24,-23,-33,-19,-15,-28,-24,-27,-34,-15,-24,-19,-31,-20,-16,-15,-20,-27,-24,-22,-21,-16,-23,-21,-25,-32,-32,-30,-26,-25,-20,-28,-29,-18,-29,-21,-16,-26,-24,-26,-16,-23,-35,-22,-21,-16,-20,-25,-22,-44,-25,-31,-19,-22,-19,-32,-24,-22,-31,-24,-20,-21,-26,-22,-26,-31,-15,-24,-20,-24,-16,-18,-30,-21,-17,-31,-15,-27,-43,-17,-22,-16,-24,-22,-22,-16,-18,-20,-20,-25,-25,-23,-20,-34,-31,-15,-25,-21,-23,-20,-15,-20,-23,-23,-38,-19,-21,-45,-26,-35,-32,-18,-15,-30,-29,-21,-21,-23,-22,-29,-18,-23,-18,-18,-21,-28,-15,-23
13,-24,-15,-16,-19,-26,-24,-25,-28,-26,-15,-30,-25,-20,-29,-22,-21,-30,-24,-30,-19,-27,-24,-38,-23,-30,-20,-16,-20,-20,-21,-19,-20,-23,-10,-16,-17,-25,-29,-27,-16,-21,-29,-16,-21,-19,-17,-28,-15,-41,-30,-20,-36,-27,-19,-24,-20,-28,-28,-31,-18,-15,-15,-27,-40,-17,-16,-19,-20,-26,-24,-37,-29,-24,-23,-33,-19,-20,-28,-29,-27,-34,-15,-24,-19,-31,-20,-16,-15,-20,-27,-24,-22,-21,-16,-23,-26,-25,-32,-32,-30,-26,-25,-20,-28,-29,-18,-29,-21,-16,-26,-24,-26,-16,-23,-40,-22,-21,-16,-20,-25,-22,-44,-25,-31,-24,-22,-19,-32,-24,-22,-31,-24,-20,-21,-26,-22,-26,-31,-15,-24,-20,-24,-16,-18,-30,-21,-17,-31,-15,-27,-43,-17,-22,-16,-24,-27,-22,-16,-18,-20,-20,-25,-25,-23,-20,-34,-31,-15,-25,-21,-23,-25,-15,-20,-28,-23,-38,-19,-21,-45,-26,-35,-32,-18,-15,-30,-29,-21,-21,-23,-27,-34,-18,-23,-18,-18,-21,-28,-15,-23
14,-24,-15,-21,-19,-26,-24,-25,-28,-31,-15,-35,-25,-20,-29,-22,-21,-30,-24,-30,-24,-27,-24,-38,-28,-30,-20,-16,-20,-20,-21,-19,-20,-23,-15,-21,-17,-25,-29,-27,-16,-21,-29,-16,-21,-19,-17,-28,-15,-41,-30,-20,-36,-32,-19,-24,-20,-28,-28,-31,-18,-15,-15,-27,-40,-17,-16,-19,-20,-26,-24,-37,-29,-24,-23,-33,-19,-20,-33,-29,-27,-34,-15,-24,-19,-31,-20,-16,-15,-20,-27,-24,-27,-21,-16,-23,-26,-25,-32,-32,-30,-26,-25,-20,-28,-29,-18,-29,-21,-16,-26,-24,-26,-16,-23,-40,-22,-21,-16,-20,-25,-22,-44,-25,-31,-24,-22,-19,-32,-29,-22,-31,-24,-25,-21,-26,-22,-26,-31,-15,-24,-20,-24,-21,-18,-30,-21,-17,-31,-15,-27,-43,-17,-22,-16,-24,-27,-22,-21,-18,-20,-20,-25,-25,-23,-20,-29,-31,-15,-25,-21,-23,-25,-15,-20,-28,-23,-38,-19,-21,-45,-26,-35,-32,-18,-15,-30,-29,-21,-21,-23,-27,-34,-18,-23,-18,-18,-21,-28,-15,-23
15,-24,-15,-21,-19,-26,-24,-25,-28,-31,-15,-30,-25,-20,-29,-22,-21,-35,-24,-30,-24,-27,-24,-38,-28,-30,-20,-16,-20,-20,-21,-19,-20,-28,-15,-21,-17,-25,-29,-27,-16,-21,-29,-16,-21,-19,-17,-28,-15,-41,-30,-20,-36,-32,-24,-24,-20,-28,-28,-31,-18,-15,-15,-27,-40,-17,-16,-19,-20,-26,-24,-37,-29,-29,-23,-33,-24,-20,-33,-29,-27,-34,-15,-24,-19,-31,-20,-16,-15,-20,-27,-24,-27,-21,-16,-23,-26,-25,-32,-32,-30,-26,-30,-20,-28,-29,-18,-29,-21,-16,-26,-24,-26,-16,-23,-40,-22,-21,-16,-20,-25,-22,-44,-25,-31,-24,-22,-19,-32,-29,-22,-31,-24,-25,-21,-26,-22,-26,-31,-15,-24,-20,-24,-21,-18,-35,-21,-17,-31,-15,-27,-48,-17,-22,-21,-24,-27,-22,-21,-18,-20,-20,-25,-25,-23,-25,-34,-31,-15,-25,-21,-23,-25,-15,-20,-28,-23,-38,-19,-21,-45,-26,-35,-37,-18,-15,-30,-34,-21,-21,-23,-27,-34,-18,-28,-18,-18,-21,-28,-15,-23
16,-24,-10,-21,-24,-26,-24,-30,-28,-31,-15,-30,-25,-20,-29,-27,-21,-35,-24,-30,-24,-27,-24,-38,-28,-30,-20,-16,-20,-20,-21,-19,-20,-28,-15,-21,-17,-25,-29,-27,-16,-21,-29,-16,-21,-24,-17,-28,-15,-41,-30,-20,-36,-32,-24,-24,-20,-28,-28,-31,-18,-15,-15,-27,-40,-17,-16,-19,-20,-26,-24,-37,-29,-29,-23,-33,-24,-20,-33,-29,-27,-34,-15,-24,-19,-31,-20,-16,-15,-25,-32,-24,-27,-21,-16,-23,-26,-25,-32,-32,-35,-26,-30,-20,-28,-29,-18,-29,-21,-16,-26,-24,-26,-16,-28,-40,-22,-21,-16,-20,-25,-22,-44,-25,-36,-24,-22,-19,-32,-29,-22,-31,-24,-25,-21,-26,-22,-26,-31,-15,-24,-20,-24,-21,-18,-35,-21,-17,-31,-15,-27,-48,-17,-22,-21,-24,-27,-22,-21,-18,-20,-20,-25,-25,-23,-25,-34,-31,-15,-25,-21,-23,-25,-15,-20,-28,-28,-38,-19,-21,-45,-26,-35,-37,-18,-15,-30,-34,-26,-21,-23,-27,-34,-18,-28,-18,-18,-21,-28,-15,-23
17,-24,-15,-21,-24,-26,-24,-30,-28,-31,-15,-30,-30,-25,-29,-27,-21,-35,-24,-30,-24,-27,-24,-38,-28,-30,-20,-21,-20,-20,-21,-19,-20,-28,-15,-21,-17,-25,-29,-27,-16,-21,-29,-16,-21,-24,-17,-28,-15,-46,-30,-20,-36,-32,-24,-24,-20,-28,-28,-31,-18,-15,-15,-27,-40,-17,-16,-19,-20,-31,-24,-37,-29,-29,-23,-33,-24,-20,-33,-29,-27,-34,-15,-24,-24,-31,-20,-16,-15,-25,-32,-24,-27,-21,-21,-23,-26,-25,-32,-32,-35,-26,-30,-20,-28,-29,-18,-29,-21,-16,-26,-24,-26,-16,-28,-40,-22,-21,-21,-20,-25,-22,-44,-25,-31,-24,-22,-19,-32,-29,-22,-31,-24,-25,-21,-26,-22,-26,-31,-15,-24,-20,-24,-21,-18,-35,-21,-17,-31,-15,-27,-48,-17,-22,-21,-24,-27,-22,-21,-18,-20,-20,-25,-25,-23,-25,-34,-31,-15,-25,-21,-23,-25,-15,-20,-28,-28,-38,-19,-21,-45,-26,-35,-37,-18,-15,-30,-34,-26,-26,-23,-27,-34,-18,-28,-18,-18,-21,-28,-20,-23
18,-24,-10,-21,-24,-26,-24,-30,-28,-31,-15,-30,-25,-25,-29,-27,-21,-35,-24,-30,-24,-27,-24,-38,-28,-35,-20,-21,-20,-20,-21,-19,-20,-28,-15,-21,-17,-25,-29,-27,-16,-21,-29,-16,-21,-24,-17,-28,-15,-46,-30,-20,-36,-32,-24,-24,-20,-33,-28,-31,-18,-15,-15,-27,-40,-17,-16,-19,-20,-31,-24,-37,-29,-29,-23,-33,-24,-20,-33,-29,-27,-34,-15,-24,-24,-31,-20,-16,-20,-25,-32,-24,-27,-21,-21,-23,-26,-25,-37,-32,-35,-26,-30,-20,-28,-29,-18,-29,-26,-16,-26,-29,-26,-16,-28,-40,-22,-21,-21,-20,-25,-22,-44,-25,-36,-24,-22,-19,-32,-29,-22,-31,-24,-25,-21,-26,-22,-26,-31,-15,-29,-20,-24,-21,-18,-35,-21,-17,-31,-15,-27,-48,-22,-22,-21,-24,-27,-22,-21,-18,-20,-20,-25,-25,-23,-25,-34,-31,-15,-25,-21,-23,-25,-15,-20,-28,-28,-38,-19,-21,-45,-26,-35,-37,-23,-15,-30,-34,-26,-26,-23,-27,-34,-18,-28,-18,-18,-21,-28,-20,-23
19,-24,-10,-21,-24,-26,-24,-30,-28,-31,-15,-30,-30,-25,-29,-27,-21,-35,-24,-30,-24,-27,-24,-38,-28,-30,-20,-21,-20,-20,-21,-19,-20,-28,-15,-21,-17,-25,-29,-27,-16,-21,-34,-16,-21,-24,-17,-28,-20,-46,-30,-25,-36,-32,-24,-24,-20,-33,-28,-31,-18,-15,-15,-27,-40,-17,-16,-19,-20,-31,-24,-37,-29,-29,-28,-33,-24,-20,-33,-29,-32,-34,-15,-24,-24,-31,-20,-16,-20,-25,-32,-24,-27,-21,-21,-23,-26,-25,-37,-32,-35,-26,-30,-20,-28,-29,-18,-29,-26,-16,-26,-29,-26,-16,-28,-40,-27,-26,-21,-20,-25,-22,-44,-25,-36,-24,-22,-19,-32,-29,-22,-31,-24,-25,-21,-26,-22,-26,-31,-15,-29,-20,-29,-21,-18,-35,-26,-17,-31,-15,-27,-48,-22,-22,-21,-29,-27,-22,-21,-18,-20,-20,-25,-25,-23,-25,-34,-31,-15,-25,-21,-23,-25,-15,-20,-28,-28,-38,-19,-21,-45,-26,-35,-37,-23,-15,-30,-34,-26,-26,-23,-27,-34,-18,-28,-18,-18,-21,-28,-20,-23
