iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,10972.0,110090,10972.0,110090,0.9,_695_696_697_699_700_701_702_703_704_705_706_707_708_709_711_712_713_714_715_716_717_718_719_720_721_722_723_724_725_726_728_729_730_731_732_733_734_735_736_737_738_739_740_741_742_743_744_745_746_747_748_749_750_751_752_753_754_755_756_757_758_759_760_761_762_763_764_765_766_767_768_769_770_771_772_773_774_775_776_777_778_779_780_781_782_783_784_785_786_787_788_789_790_791_792_793_794_795_796_797_798_799_800_801_802_803_804_805_806_807_808_809_810_811_812_813_814_815_816_817_818_819_820_821_822_823_824_825_826_827_828_829_830_831_832_833_834_835_836_837_838_839_840_841_842_843_844_845_846_847_848_849_850_851_852_853_854_855_856_857_858_859_860_861_862_863_864_865_866_867_868_869_870_871_872_873_874_875_876_877_878_879_880_881_882_883_884_885_886_887_888_889_890_891_892_893_894_895_896_897_898_899,
1,-61632.64,21631,10972.0,21631,0.493,,
2,-52445.651,21522,10972.0,21522,0.49,,
3,-44193.673,21253,10972.0,21253,0.484,,
4,-37190.488,20834,10972.0,20834,0.473,,
5,-31422.336,20380,10972.0,20380,0.462,,
6,-26520.435,20146,10972.0,20146,0.455,,
7,-22089.159,19648,10972.0,19648,0.442,,
8,-17960.846,19170,10972.0,19170,0.428,,
9,-14364.901,18682,10972.0,18682,0.413,,
10,-11031.16,18292,10972.0,18292,0.4,,
11,-8143.844,17591,10972.0,17591,0.376,,
12,-5487.788,17225,10972.0,17225,0.363,,
13,-3263.499,16942,10972.0,16942,0.352,,
14,-1237.029,16523,10972.0,16523,0.336,,
15,488.201,16095,10972.0,16095,0.318,,
16,2145.443,15755,10972.0,15755,0.304,,
17,3389.552,15430,10972.0,15430,0.289,,
18,4606.391,15035,10972.0,15035,0.27,,
19,5488.719,14804,10972.0,14804,0.259,,
20,6415.341,14555,10972.0,14555,0.246,,
21,7042.34,14216,10972.0,14216,0.228,,
22,7653.298,14069,10972.0,14069,0.22,,
23,8123.309,13725,10972.0,13725,0.201,,
24,8652.496,13625,10972.0,13625,0.195,,
25,8886.652,13278,10972.0,13278,0.174,,
26,9365.659,13034,10972.0,13034,0.158,,
27,9605.914,12981,10972.0,12981,0.155,,
28,9732.73,12750,10972.0,12750,0.139,,
29,10039.821,12668,10972.0,12668,0.134,,
30,10099.414,12489,10972.0,12489,0.121,,
31,10301.051,12443,10972.0,12443,0.118,,
32,10314.065,12285,10972.0,12285,0.107,,
33,10530.268,12250,10972.0,12250,0.104,,
34,10441.418,12220,10972.0,12220,0.102,,
35,10715.375,12118,10972.0,12118,0.095,,
36,10580.555,12133,10972.0,12118,0.095,,
37,10818.075,11953,10972.0,11953,0.082,,
38,10718.263,11988,10972.0,11953,0.082,,
39,10940.257,11948,10972.0,11948,0.082,,
40,10662.044,11864,10972.0,11864,0.075,,
41,10985.963,11781,10985.963,11781,0.067,,
42,10895.824,11858,10985.963,11781,0.067,,
43,11025.309,11749,11025.309,11749,0.062,,
44,10895.99,11735,11025.309,11735,0.06,,
45,11105.503,11680,11105.503,11680,0.049,,
46,11042.759,11747,11105.503,11680,0.049,,
47,11103.232,11648,11105.503,11648,0.047,,
48,11065.903,11685,11105.503,11648,0.047,,
49,11153.65,11633,11153.65,11633,0.041,,
50,11091.493,11631,11153.65,11631,0.041,,
51,11181.194,11619,11181.194,11619,0.038,,
52,11114.403,11579,11181.194,11579,0.034,,
53,11212.203,11581,11212.203,11579,0.032,,
54,11137.634,11564,11212.203,11564,0.03,,
55,11232.357,11571,11232.357,11564,0.029,,
56,11149.142,11584,11232.357,11564,0.029,,
57,11228.237,11547,11232.357,11547,0.027,,
58,11171.716,11548,11232.357,11547,0.027,,
59,11238.96,11551,11238.96,11547,0.027,,
60,11193.59,11514,11238.96,11514,0.024,,
61,11251.5,11514,11251.5,11514,0.023,,
62,11214.734,11536,11251.5,11514,0.023,,
63,11251.701,11522,11251.701,11514,0.023,,
64,11215.371,11489,11251.701,11489,0.021,,
65,11268.945,11495,11268.945,11489,0.019,,
66,11248.273,11496,11268.945,11489,0.019,,
67,11259.722,11494,11268.945,11489,0.019,,
68,11248.608,11490,11268.945,11489,0.019,,
69,11271.87,11464,11271.87,11464,0.017,,
70,11262.661,11470,11271.87,11464,0.017,,
71,11264.813,11479,11271.87,11464,0.017,,
72,11273.41,11512,11273.41,11464,0.017,,
73,11260.473,11470,11273.41,11464,0.017,,
74,11279.455,11511,11279.455,11464,0.016,,
75,11264.833,11483,11279.455,11464,0.016,,
76,11274.791,11478,11279.455,11464,0.016,,
77,11275.893,11464,11279.455,11464,0.016,,
78,11271.741,11495,11279.455,11464,0.016,,
79,11278.091,11494,11279.455,11464,0.016,,
80,11273.707,11475,11279.455,11464,0.016,,
81,11283.628,11481,11283.628,11464,0.016,,
82,11260.484,11441,11283.628,11441,0.014,,
83,11304.343,11425,11304.343,11425,0.011,,
84,11286.827,11439,11304.343,11425,0.011,,
85,11311.36,11447,11311.36,11425,0.01,,
Running time: 96.18 sec
