iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,1314.0,8765,1314.0,8765,0.85,_84_85_86_87_88_89_90_91_92_93_94_95_96_98_99,
1,-2487.29,2491,1314.0,2491,0.473,,
2,-1559.614,2504,1314.0,2491,0.473,,
3,-912.831,2390,1314.0,2390,0.45,,
4,-486.766,2184,1314.0,2184,0.398,,
5,-224.074,2297,1314.0,2184,0.398,,
6,-5.432,2154,1314.0,2154,0.39,,
7,198.766,2102,1314.0,2102,0.375,,
8,264.246,1980,1314.0,1980,0.336,,
9,491.886,2040,1314.0,1980,0.336,,
10,571.337,1878,1314.0,1878,0.3,,
11,697.573,1913,1314.0,1878,0.3,,
12,749.246,1835,1314.0,1835,0.284,,
13,866.287,1796,1314.0,1796,0.268,,
14,799.229,1783,1314.0,1783,0.263,,
15,1016.555,1707,1314.0,1707,0.23,,
16,996.848,1692,1314.0,1692,0.223,,
17,1090.515,1646,1314.0,1646,0.202,,
18,1104.051,1657,1314.0,1646,0.202,,
19,1135.232,1660,1314.0,1646,0.202,,
20,1129.523,1663,1314.0,1646,0.202,,
21,1159.774,1577,1314.0,1577,0.167,,
22,1238.679,1580,1314.0,1577,0.167,,
23,1189.145,1612,1314.0,1577,0.167,,
24,1257.604,1551,1314.0,1551,0.153,,
25,1213.016,1609,1314.0,1551,0.153,,
26,1298.424,1537,1314.0,1537,0.145,,
27,1237.598,1538,1314.0,1537,0.145,,
28,1291.853,1551,1314.0,1537,0.145,,
29,1235.652,1554,1314.0,1537,0.145,,
30,1308.632,1510,1314.0,1510,0.13,,
31,1263.304,1498,1314.0,1498,0.123,,
32,1332.752,1517,1332.752,1498,0.11,,
33,1291.218,1506,1332.752,1498,0.11,,
34,1337.208,1500,1337.208,1498,0.107,,
35,1296.361,1487,1337.208,1487,0.101,,
36,1341.894,1470,1341.894,1470,0.087,,
37,1343.373,1496,1343.373,1470,0.086,,
38,1326.003,1479,1343.373,1470,0.086,,
39,1356.277,1448,1356.277,1448,0.063,,
40,1351.669,1476,1356.277,1448,0.063,,
41,1358.361,1452,1358.361,1448,0.062,,
42,1358.174,1486,1358.361,1448,0.062,,
43,1362.534,1460,1362.534,1448,0.059,,
44,1353.566,1458,1362.534,1448,0.059,,
45,1371.402,1445,1371.402,1445,0.051,,
46,1364.784,1453,1371.402,1445,0.051,,
47,1362.716,1457,1371.402,1445,0.051,,
48,1374.815,1472,1374.815,1445,0.049,,
49,1366.182,1459,1374.815,1445,0.049,,
50,1367.165,1469,1374.815,1445,0.049,,
