iteration,local_LB,local_UB,LB,UB,gap,un_served,repeat_served
0,9265.0,28544,9265.0,200000,0.954,_482_581_593_596_627_669_700_702_707_708_709_711_725_729_731_755_760_772_777_779_784_798_801_808_812_814_817_820_830_846_852_853_866_867_870_878_889_891,
1,9253.5,32341,9265.0,32341,0.714,_417_471_503_509_518_541_542_561_572_591_621_633_635_636_642_648_652_668_672_681_697_706_718_721_730_736_737_740_756_757_781_796_806_809_810_815_835_836_837_839_866_868_873_879_880_893,
2,9241.5,36733,9265.0,32341,0.714,_262_295_318_336_338_365_369_403_416_426_435_441_447_454_455_474_488_496_510_516_537_538_549_557_566_569_570_587_598_601_609_612_617_619_628_637_640_647_662_683_709_713_747_759_772_773_799_813_824_827_833_847_856_858_864,
3,9235.5,40061,9265.0,32341,0.714,_271_334_355_366_377_398_411_415_424_425_434_438_446_452_460_468_469_481_495_499_514_517_550_580_584_641_663_668_670_687_694_701_707_715_719_726_729_732_745_752_754_755_774_783_785_792_803_814_831_840_852_854_857_859_860_870_876_878_882_895_897_898,
4,9219.0,44466,9265.0,32341,0.714,_107_201_216_223_238_278_281_288_307_311_327_354_360_373_382_386_395_397_412_444_465_479_486_490_493_511_523_525_526_527_528_556_562_567_579_594_595_609_611_639_661_675_680_688_690_692_722_735_744_749_765_771_775_779_780_782_787_790_804_808_812_817_819_822_834_842_850_856_863_869_890,
5,9224.0,40140,9265.0,32341,0.714,_161_173_208_343_363_367_376_406_413_414_429_466_476_478_482_494_497_512_536_539_552_558_565_577_585_593_597_617_618_622_623_625_667_669_674_679_682_686_693_696_699_700_703_710_711_716_725_726_731_737_742_784_791_807_828_845_853_857_862_874_894_895,
6,9223.5,37533,9265.0,32341,0.714,_213_292_303_315_328_375_381_384_392_400_403_409_420_441_449_463_467_473_489_491_500_506_515_554_571_573_574_582_584_596_615_620_629_638_644_653_655_659_665_666_685_708_738_740_750_758_768_770_777_778_798_825_835_858_861_891_899,
7,9227.5,40965,9265.0,32341,0.714,_229_232_233_234_244_253_294_299_317_320_335_350_352_372_374_410_425_427_433_448_459_462_480_502_516_518_524_533_535_559_567_581_599_604_613_624_627_630_632_643_648_656_691_697_709_718_720_743_748_751_755_760_764_810_820_826_836_856_866_875_876_878_888_896,
8,9230.0,36103,9265.0,32341,0.714,_265_342_351_356_361_379_383_387_400_421_429_450_456_457_464_470_477_484_488_497_505_509_532_541_542_546_547_548_560_572_586_590_591_607_610_616_636_664_677_682_712_733_734_742_753_766_772_800_839_846_865_881_884_893,
9,9239.5,34707,9265.0,32341,0.714,_202_222_241_264_287_298_299_324_325_329_344_358_371_380_390_396_399_404_406_407_417_419_439_469_471_476_495_506_519_563_626_633_637_640_649_657_676_702_715_727_736_752_759_763_767_809_811_814_818_849_875,
